season,doy,treatment,timestamp,co.flux,co2.flux,Tr,PAR,PAR_above_canopy,TL,TA,VPD,SWC,g_tw,g_tCO,co.ci
Autumn,325,dro,2020-11-20 12:45:00,,,,389.46947624999996,144.46743666666669,18.588442609953702,21.002351833333332,,13.860237916666666,,,
Autumn,325,irr,2020-11-20 12:45:00,,,,280.7285366666666,173.09712083333332,17.931937385416667,19.71591825,,14.929891333333334,,,
Autumn,326,dro,2020-11-21 12:45:00,,,,154.46347875,86.92563866666666,16.576614212962966,18.14442858333333,,13.655082499999999,,,
Autumn,326,irr,2020-11-21 12:45:00,,,,136.91081241666666,134.28743833333334,16.35241336574074,16.793689041666667,,14.752518666666667,,,
Autumn,327,dro,2020-11-22 12:45:00,,,,374.3142420833333,137.79509583333333,20.476731140046297,23.65265708333333,,13.522817916666668,,,
Autumn,327,irr,2020-11-22 12:45:00,,,,297.19666041666665,203.8298475,20.71287708101852,21.848207666666667,,14.628392000000002,,,
Autumn,328,dro,2020-11-23 12:15:00,-0.2217216625820953,-1.2496917019090124,0.089861972716455,159.08660500000002,68.701854,20.86264975694445,21.343047916666663,1394.6685519661378,13.405116666666665,0.0063601977170746,0.007634316451239813,132.97323708136318
Autumn,328,irr,2020-11-23 12:15:00,0.7671298023621483,-3.9814672311984793,0.722018060042456,146.3003116666667,104.20899966666666,20.372394886574074,20.502190916666667,1331.4222793876177,14.542146666666662,0.0760286451982596,0.09125922850548078,176.2756599551834
Autumn,329,dro,2020-11-24 12:45:00,0.2048125014729158,-1.0344617080952916,0.1897196410102377,353.76362916666665,141.08007166666667,22.35357888888889,24.702697,1963.8937804082616,13.300618333333333,0.00727403811501985,0.00873122366925156,168.25069888663538
Autumn,329,irr,2020-11-24 12:45:00,0.6226280661405639,-6.087177921197298,1.1331237635086753,312.12255333333337,155.905375,21.909189329861107,23.082608375,1920.9831652635528,14.438725666666667,0.07462133865217124,0.0895700005923458,154.45525799398706
Autumn,330,dro,2020-11-25 12:45:00,0.480192700340046,-1.1430499410452097,0.10685737424840569,193.56393166666663,102.96045741666667,19.487660300925928,19.987289958333335,1020.2232246679552,13.139327916666666,0.009828288680641,0.011797159349420827,221.07125157195458
Autumn,330,irr,2020-11-25 12:45:00,0.6167022267370394,-4.50490199476409,0.597692248351537,183.40339500000002,125.49100025000001,18.216897459490742,19.194638291666667,822.7519897434178,14.28531633333333,0.10817061547846879,0.12984010026465728,191.8182001075586
Autumn,333,dro,2020-11-28 12:45:00,0.16470075450040694,-1.8555015199935885,0.13393392905754153,266.3715975,130.8307475,16.436570405092592,17.721581208333333,697.7499229775135,13.046040833333333,0.0179757030307217,0.021576720013220058,187.65167707891655
Autumn,333,irr,2020-11-28 12:45:00,0.44496540369473214,-6.634778577923123,0.6011811873650239,246.25031,155.69871833333332,16.180457309027776,16.753974791666664,640.8787513039699,14.769084666666666,0.1641062809557514,0.1969811845768412,179.9857609073888
Autumn,334,dro,2020-11-29 12:15:00,0.2000428035100797,-2.048514364983268,0.1892319921844267,332.1011366666667,117.42076833333334,17.74086699074074,20.14387591666667,861.4750104270558,12.961495,0.0183950731879101,0.02208010129672755,169.6412350686413
Autumn,334,irr,2020-11-29 12:45:00,0.4004877764045235,-6.34747081818071,0.788165763573493,194.02058499999998,110.91306450000002,17.39895313541667,18.087492875,814.9346621649433,14.675444333333331,0.1728231396530591,0.20744426461244075,165.61918517486805
Autumn,335,dro,2020-11-30 12:15:00,0.1036648458968844,-0.7309082958765232,0.1023566135295429,119.75733666666666,114.94011833333334,19.89099517361111,19.154586833333333,1414.3309497864198,12.899049166666666,0.0080585159286579,0.00967285349660923,160.7124856501474
Autumn,335,irr,2020-11-30 12:15:00,0.07933500995618238,-2.936709857631093,0.6847886862336112,117.90218250000001,609.3081754166667,18.142004028935183,18.432957416666667,1157.3292643722682,14.581035333333332,0.08656469319214266,0.10390593040199828,145.94949607701784
Autumn,336,dro,2020-12-01 12:15:00,0.1440038401221265,-0.7730024387467156,0.1213949456668354,141.84794166666663,137.17442666666665,19.521703194444445,20.074564416666664,1549.776076986476,12.821808333333331,0.0075495906190649,0.009061976754043874,129.3378034199148
Autumn,336,irr,2020-12-01 12:15:00,0.4125185869460078,-3.4615475094275987,0.7475601030459007,178.0948,105.60228016666666,19.047908078703703,18.887389916666667,1459.3641099062586,14.469408666666666,0.0737903520944141,0.0885725450680288,120.68997794314936
Autumn,337,dro,2020-12-02 12:45:00,0.20321962223786666,-1.471688651901547,0.13536619120182686,257.7522658333333,143.86398833333334,17.083006232638887,19.28723820833333,902.4761047989507,12.774679166666665,0.01084933147533235,0.013022744488701275,177.04182082143603
